Company,Debt_Score,Profit_Score,Liquidity_Score,Efficiency_Score,PRS_Score,Lower_Bound,Upper_Bound,Uncertainty,Anomaly,Risk_Level
"Coca-Cola Consolidated, Inc.",23.77,16.67,16.84,0.93,58.21,52.88,63.54,5.33,Normal,Medium Risk
TRACTOR SUPPLY CO /DE/,18.62,17.42,20.51,1.65,58.2,52.87,63.53,5.33,Normal,Medium Risk
Invesco Ltd.,10.53,14.71,14.3,18.66,58.2,52.87,63.53,5.33,Normal,Medium Risk
Invitation Homes Inc.,9.5,6.55,21.71,20.23,57.99,52.67,63.31,5.32,Normal,Medium Risk
EQUIFAX INC,13.31,14.03,20.1,10.53,57.97,52.65,63.29,5.32,Normal,Medium Risk
ZEBRA TECHNOLOGIES CORP,12.48,16.84,20.2,8.26,57.78,52.47,63.09,5.31,Normal,Medium Risk
"Burlington Stores, Inc.",23.56,19.38,12.11,2.71,57.76,51.85,63.67,5.91,Normal,Medium Risk
MERCADOLIBRE INC,20.2,17.59,12.38,7.54,57.71,52.4,63.02,5.31,Normal,Medium Risk
Flutter Entertainment plc,15.6,12.86,12.93,16.32,57.71,51.8,63.62,5.91,Normal,Medium Risk
"QUANTA SERVICES, INC.",14.81,20.27,19.58,2.98,57.64,52.33,62.95,5.31,Normal,Medium Risk
HORMEL FOODS CORP /DE/,16.8,18.93,14.64,7.27,57.64,51.73,63.55,5.91,Normal,Medium Risk
MCCORMICK & CO INC,11.93,13.31,21.91,10.36,57.51,52.21,62.81,5.3,Normal,Medium Risk
Snowflake Inc.,15.53,24.42,4.05,13.51,57.51,52.21,62.81,5.3,Normal,Medium Risk
"American Healthcare REIT, Inc.",6.55,20.68,17.15,13.07,57.45,52.15,62.75,5.3,Normal,Medium Risk
SEMPRA,0.65,11.52,24.11,21.16,57.44,51.54,63.34,5.9,Normal,Medium Risk
"DT Midstream, Inc.",10.46,3.12,22.6,21.23,57.41,52.11,62.71,5.3,Normal,Medium Risk
"UNITED RENTALS, INC.",16.67,10.01,20.64,10.08,57.4,52.1,62.7,5.3,Normal,Medium Risk
AUTOMATIC DATA PROCESSING INC,21.43,7.48,14.61,13.85,57.37,52.08,62.66,5.29,Normal,Medium Risk
DEERE & CO,18.42,13.92,12.17,12.72,57.23,51.94,62.52,5.29,Normal,Medium Risk
TransDigm Group INC,24.14,5.86,13.34,13.82,57.16,51.87,62.45,5.29,Normal,Medium Risk
JABIL INC,22.36,21.33,11.56,1.89,57.14,51.85,62.43,5.29,Normal,Medium Risk
"HCA Healthcare, Inc.",18.21,15.84,20.47,2.61,57.13,51.84,62.42,5.29,Normal,Medium Risk
AGREE REALTY CORP,6.07,4.66,23.32,23.01,57.06,51.78,62.34,5.28,Normal,Medium Risk
UNION PACIFIC CORP,17.73,2.91,20.13,16.22,56.99,51.71,62.27,5.28,Normal,Medium Risk
CATERPILLAR INC,19.07,20.03,10.67,7.2,56.97,51.69,62.25,5.28,Normal,Medium Risk
"HOME DEPOT, INC.",22.63,6.14,21.09,7.03,56.89,51.61,62.17,5.28,Normal,Medium Risk
"Builders FirstSource, Inc.",14.03,20.95,19.89,1.99,56.86,51.59,62.13,5.27,Normal,Medium Risk
"Zscaler, Inc.",17.28,23.18,3.22,13.13,56.81,51.54,62.08,5.27,Normal,Medium Risk
PAYCHEX INC,18.18,13.07,10.53,14.99,56.77,51.5,62.04,5.27,Normal,Medium Risk
Wayfair Inc.,24.31,23.8,6.79,1.85,56.75,51.48,62.02,5.27,ANOMALY,Medium Risk
Aramark,16.98,21.5,15.0,3.16,56.64,50.77,62.51,5.87,Normal,Medium Risk
ANTERO RESOURCES Corp,7.37,12.24,23.46,13.55,56.62,51.36,61.88,5.26,Normal,Medium Risk
TEVA PHARMACEUTICAL INDUSTRIES LTD,19.58,0.89,11.87,24.21,56.55,51.29,61.81,5.26,Normal,Medium Risk
RENAISSANCERE HOLDINGS LTD,14.95,6.89,17.46,17.08,56.38,51.12,61.64,5.26,Normal,Medium Risk
EQUINIX INC,15.02,6.07,15.12,20.16,56.37,51.12,61.62,5.25,Normal,Medium Risk
CARRIER GLOBAL Corp,14.27,17.76,15.05,9.22,56.3,51.05,61.55,5.25,Normal,Medium Risk
"SoFi Technologies, Inc.",19.24,1.34,11.01,24.69,56.28,51.03,61.53,5.25,Normal,Medium Risk
HUNT J B TRANSPORT SERVICES INC,11.63,16.32,23.59,4.73,56.27,51.02,61.52,5.25,Normal,Medium Risk
Otis Worldwide Corp,24.21,15.29,14.81,1.95,56.26,51.01,61.51,5.25,Normal,Medium Risk
DOVER Corp,16.74,1.61,17.08,20.82,56.25,50.4,62.1,5.85,Normal,Medium Risk
RTX Corp,13.72,16.36,14.54,11.63,56.25,51.0,61.5,5.25,Normal,Medium Risk
ARES CAPITAL CORP,11.39,9.57,18.52,16.63,56.11,49.67,62.55,6.44,Normal,Medium Risk
LOCKHEED MARTIN CORP,21.5,17.97,13.99,2.54,56.0,50.76,61.24,5.24,Normal,Medium Risk
CACI INTERNATIONAL INC /DE/,11.59,13.61,20.37,10.39,55.96,50.72,61.2,5.24,Normal,Medium Risk
Ovintiv Inc.,8.54,11.08,23.66,12.62,55.9,50.66,61.14,5.24,Normal,Medium Risk
