Unnamed: 0,Company,CIK,Revenue,NetIncome,Assets,Liabilities,Cash,Risk Level,Data_Completeness
174,CARVANA CO.,1690820,20.32,1.41,13.2,9.0,2.33,Medium Risk,100.0
175,Bank of New York Mellon Corp,1390777,20.08,5.55,472.3,427.49,5.11,High Risk,100.0
176,TD SYNNEX CORP,1177394,20.05,0.83,34.25,25.8,2.44,Medium Risk,100.0
177,"Cheniere Energy, Inc.",3570,19.98,5.33,47.88,34.8,1.1,Medium Risk,100.0
178,ARCH CAPITAL GROUP LTD.,947484,19.93,4.4,79.24,55.03,0.99,Medium Risk,100.0
179,DANAHER CORP /DE/,313616,19.89,3.61,83.46,8.44,19.91,Low Risk,100.0
180,Duke Energy CORP,1326160,19.62,4.97,195.74,9.445,0.24,Low Risk,80.0
181,UNION PACIFIC CORP,100885,19.53,7.14,69.7,51.23,1.27,Medium Risk,100.0
182,KKR & Co. Inc.,1404912,19.46,2.37,410.14,328.51,5.36,High Risk,100.0
183,EDISON INTERNATIONAL,827052,19.32,4.46,94.03,74.77,0.16,Medium Risk,100.0
184,"Moderna, Inc.",1682852,19.26,-2.82,12.34,3.69,2.6,Low Risk,100.0
185,"REPUBLIC SERVICES, INC.",1060391,19.03,2.14,34.37,9.445,0.08,Low Risk,80.0
186,AUTOZONE INC,866787,18.94,2.5,19.36,9.445,0.27,Low Risk,80.0
187,AMERIPRISE FINANCIAL INC,820027,18.91,3.56,190.9,184.35,2.32,High Risk,100.0
188,CARNIVAL CORP,815097,18.88,2.76,51.69,9.445,1.93,Low Risk,80.0
189,INTUIT INC.,896878,18.83,3.87,36.96,17.25,2.88,Low Risk,100.0
190,TENET HEALTHCARE CORP,70318,18.48,1.12,29.68,20.7,2.88,Medium Risk,100.0
191,"Corebridge Financial, Inc.",1889539,18.48,-0.37,413.55,399.59,0.3725,High Risk,80.0
192,LOEWS CORP,60086,18.45,1.67,86.35,66.71,0.3725,Medium Risk,80.0
193,CNH Industrial N.V.,1567094,18.09,0.51,42.75,34.92,2.58,High Risk,100.0
194,HALLIBURTON CO,45012,17.97,1.28,25.01,14.51,2.21,Medium Risk,100.0
195,"W.W. GRAINGER, INC.",277135,17.94,1.71,8.96,9.445,0.58,Low Risk,80.0
196,EBAY INC,1065088,17.9,2.03,17.61,12.99,1.87,Medium Risk,100.0
197,SHERWIN WILLIAMS CO,89800,17.9,2.57,25.9,9.445,0.21,Low Risk,80.0
198,O REILLY AUTOMOTIVE INC,898173,17.78,2.54,16.54,9.445,0.19,Low Risk,80.0
199,Vistra Corp.,1692819,17.74,0.94,41.55,36.44,0.79,High Risk,100.0
200,TEXAS INSTRUMENTS INC,97476,17.68,5.0,34.59,18.31,3.23,Medium Risk,100.0
201,Performance Food Group Co,1618673,17.62,0.34,17.88,13.41,0.3725,Medium Risk,80.0
202,"DOLLAR TREE, INC.",935703,17.58,-2.9459999999999997,18.64,14.67,1.26,Medium Risk,100.0
203,"EVEREST GROUP, LTD.",1095073,17.5,1.59,62.51,47.05,0.66,Medium Risk,100.0
204,"Corteva, Inc.",1755672,17.4,1.09,42.84,9.445,4.52,Low Risk,80.0
205,UNIVERSAL HEALTH SERVICES INC,352915,17.36,1.49,15.53,9.445,0.14,Low Risk,80.0
206,OMNICOM GROUP INC.,29989,17.27,-0.05,54.42,9.445,5.32,Low Risk,80.0
207,TE Connectivity plc,1385157,17.26,1.84,25.08,12.35,1.25,Low Risk,100.0
208,DEVON ENERGY CORP/DE,1090012,17.19,2.64,31.6,9.445,1.38,Low Risk,80.0
209,"Leidos Holdings, Inc.",1336920,17.17,1.45,13.49,8.53,1.11,Medium Risk,100.0
210,AFLAC INC,4977,17.16,3.65,116.47,86.98,6.25,Medium Risk,100.0
211,Targa Resources Corp.,1389170,17.03,1.92,25.22,9.445,0.17,Low Risk,80.0
212,"EMCOR Group, Inc.",105634,16.99,1.27,9.29,5.62,1.11,Medium Risk,100.0
213,LPL Financial Holdings Inc.,1397911,16.99,0.86,18.49,13.15,1.04,Medium Risk,100.0
214,"KINDER MORGAN, INC.",1506307,16.94,3.06,72.75,40.3,0.06,Medium Risk,100.0
215,CONSOLIDATED EDISON INC,1047862,16.92,2.02,74.6,9.445,1.63,Low Risk,80.0
216,Keurig Dr Pepper Inc.,1418135,16.6,2.08,55.46,29.94,1.03,Medium Risk,100.0
217,"DOMINION ENERGY, INC",715957,16.51,3.0,115.86,82.44,0.25,Medium Risk,100.0
218,KIMBERLY CLARK CORP,55785,16.45,2.02,17.1,9.445,0.69,Low Risk,80.0
219,AECOM,868857,16.14,0.56,12.2,9.5,1.59,Medium Risk,100.0
220,"UNITED RENTALS, INC.",1067701,16.1,2.49,29.87,20.9,0.46,Medium Risk,100.0
221,ECOLAB INC.,31462,16.08,2.08,24.7,14.89,0.65,Medium Risk,100.0
222,CASEYS GENERAL STORES INC,726958,15.94,0.55,8.21,4.7,0.33,Medium Risk,100.0
223,RAYMOND JAMES FINANCIAL INC,720005,15.91,2.13,88.23,75.73,11.39,High Risk,100.0
224,CORNING INC /NY,24741,15.63,1.6,30.98,18.67,1.53,Medium Risk,100.0
225,PRINCIPAL FINANCIAL GROUP INC,1126328,15.63,1.19,341.38,328.99,4.43,High Risk,100.0
226,TRACTOR SUPPLY CO /DE/,916365,15.52,1.1,10.93,8.35,0.19,Medium Risk,100.0
227,MARKEL GROUP INC.,1096343,15.51,2.11,68.91,49.8,3.96,Medium Risk,100.0
228,COLGATE PALMOLIVE CO,21665,15.45,2.13,16.33,15.96,1.29,High Risk,100.0
229,"Builders FirstSource, Inc.",1316835,15.19,0.44,11.24,6.89,0.18,Medium Risk,100.0
230,"STANLEY BLACK & DECKER, INC.",93556,15.13,0.4,21.24,9.445,0.28,Low Risk,80.0
231,Kenvue Inc.,1944048,15.12,1.47,27.08,16.31,1.06,Medium Risk,100.0
232,PPG INDUSTRIES INC,79879,15.11,1.58,22.1,14.0,2.16,Medium Risk,100.0
233,FIRSTENERGY CORP,1031296,15.09,1.02,55.9,41.98,0.06,Medium Risk,100.0
234,"Diamondback Energy, Inc.",1539838,15.03,1.66,71.06,28.09,0.1,Low Risk,100.0
235,EchoStar CORP,1415404,15.0,-2.9459999999999997,43.02,37.2,1.88,High Risk,100.0
236,CNA FINANCIAL CORP,21175,14.99,1.28,69.44,57.82,0.3725,High Risk,80.0
237,JACOBS SOLUTIONS INC.,52988,14.98,0.29,11.25,9.445,1.24,Low Risk,80.0
238,Fox Corp,1754301,14.91,0.98,23.2,9.445,0.3725,Low Risk,40.0
239,"C. H. ROBINSON WORLDWIDE, INC.",1043277,14.87,0.59,5.06,3.21,0.16,Medium Risk,100.0
240,"RELIANCE, INC.",861884,14.81,0.74,10.37,3.19,0.22,Low Risk,100.0
241,TEXTRON INC,217346,14.8,0.92,18.13,10.25,1.26,Medium Risk,100.0
242,Trane Technologies plc,1466258,14.78,2.92,21.42,12.82,1.76,Medium Risk,100.0
243,ILLINOIS TOOL WORKS INC,49826,14.77,0.98,16.15,9.445,0.85,Low Risk,60.0
244,"Expedia Group, Inc.",1324424,14.73,1.29,24.45,9.445,5.41,Low Risk,80.0
245,BERKLEY W R CORP,11544,14.71,1.78,44.07,34.36,2.54,Medium Risk,100.0
246,APPLIED MATERIALS INC /DE,6951,14.61,7.0,36.3,15.88,7.24,Low Risk,100.0
