Company,Cluster,Cluster_Label,Debt_Ratio,Profit_Margin,Cash_Ratio,Asset_Efficiency,Return_on_Assets,PRS_Score,Risk_Level
DraftKings Inc.,0,Medium Risk Cluster,0.8609271523178808,0.0,0.2897435897435897,1.335540838852097,0.0,51.35,Low Risk
"DuPont de Nemours, Inc.",0,Medium Risk Cluster,0.3463143254520167,-0.03823529411764706,0.09504685408299866,0.9457579972183587,-0.03616133518776078,46.19,Low Risk
Duke Energy CORP,0,Medium Risk Cluster,0.04825278430571166,0.2533129459734964,0.02541026998411858,0.1002350056196996,0.025390824563196072,47.93,Low Risk
EBAY INC,0,Medium Risk Cluster,0.737649063032368,0.11340782122905027,0.1439568899153195,1.0164679159568426,0.11527541169789891,44.41,Low Risk
ECOLAB INC.,0,Medium Risk Cluster,0.602834008097166,0.1293532338308458,0.04365345869711216,0.6510121457489878,0.08421052631578949,51.51,Low Risk
EDISON INTERNATIONAL,0,Medium Risk Cluster,0.795171753695629,0.23084886128364387,0.002139895680085596,0.2054663405296182,0.04743167074337977,68.15,High Risk
ELECTRONIC ARTS INC.,0,Medium Risk Cluster,0.4834276475343574,0.15013404825737267,0.45652173913043476,0.603071948261924,0.09054163298302347,32.58,Low Risk
"EMCOR Group, Inc.",0,Medium Risk Cluster,0.604951560818084,0.07474985285462037,0.19750889679715303,1.828848223896663,0.13670613562970937,39.14,Low Risk
EMERSON ELECTRIC CO,0,Medium Risk Cluster,0.22509532888465206,0.09381401065137239,0.24880889359449446,0.5817445185891325,0.05457578646329838,34.81,Low Risk
"ENSIGN GROUP, INC",0,Medium Risk Cluster,0.5915750915750916,0.06719367588932808,0.15479876160990713,0.9267399267399267,0.06227106227106228,44.45,Low Risk
ENTEGRIS INC,0,Medium Risk Cluster,1.1311377245508982,0.075,0.038115404976177866,0.38323353293413176,0.02874251497005988,73.11,High Risk
